episode,total_reward
1,-802.9061278998852
2,-1188.0061826258898
3,-1404.8743739500642
4,-1404.1916422843933
5,-1400.920937538147
6,-1434.6079397201538
7,-1438.1274512410164
8,-1443.0941781401634
9,-1431.3652223348618
10,-1418.9386402964592
11,-1288.4969478845596
12,-1406.2254551649094
13,-1423.4818606376648
14,-1401.2474472522736
15,-1417.423484325409
16,-1378.080654144287
17,-1061.2043143510818
18,-1195.824608206749
19,-1139.4897856712341
20,-1114.6598107218742
21,-1057.4789186120033
22,-1140.8840871453285
23,-1052.913137793541
24,-1002.7324467897415
25,-1205.1381601393223
26,-1239.0374746322632
27,-1166.354356765747
28,-1149.3161243200302
29,-1287.8258348703384
30,-1270.3722986578941
31,-1290.640956401825
32,-1238.2040405273438
33,-1264.3519775271416
34,-1240.2352047860622
35,-1376.679745733738
36,-1425.5116140842438
37,-1398.1842210292816
38,-1287.9658792614937
39,-1420.8272522687912
40,-1411.4763474464417
41,-1450.489238500595
42,-1406.6921538114548
43,-1436.3538494706154
44,-1418.9717715978622
45,-1026.9547929763794
46,-1181.45237621665
47,-1432.7763620615005
48,-1386.0543313622475
49,-1443.2499518990517
50,-1422.406971335411
51,-1429.685348123312
52,-1438.3475649952888
53,-1276.7411326766014
54,-1436.7247051000595
55,-1443.8297337293625
56,-1444.1559574007988
57,-1458.0593711137772
58,-1420.6973528862
59,-1441.191436946392
60,-1407.7758890986443
61,-1411.1898785829544
62,-1429.3635791540146
63,-1429.0140157938004
64,-1436.3713359236717
65,-1346.0088321566582
66,-1437.087290585041
67,-1444.4024389982224
68,-1430.7267045974731
69,-1395.3800310194492
70,-1435.9853810071945
71,-1462.0842716097832
72,-1416.6060453653336
73,-1435.1883318424225
74,-1386.1228677630424
75,-1121.5417082309723
76,-1254.5398201942444
77,-1449.1426131129265
78,-1250.3658732771873
79,-1233.1937077641487
80,-1412.2826104462147
81,-1253.5672326087952
82,-1352.205628156662
83,-1416.4545984566212
84,-1232.7103966474533
85,-1314.1291134953499
86,-1288.6498713493347
87,-1424.74444937706
88,-1421.9172687530518
89,-1434.735426902771
90,-1412.3871208429337
91,-1410.0467836856842
92,-1448.3728727698326
93,-1423.8667315244675
94,-1424.5332604646683
95,-1428.6676800251007
96,-1443.8750898838043
97,-1455.0807556509972
98,-1449.0262365341187
99,-1454.4973215460777
100,-1458.4920293092728
101,-1413.293761730194
102,-1423.7034207582474
103,-1420.2642387151718
104,-1432.5869027674198
105,-1439.4412821531296
106,-1424.4982725381851
107,-1420.703468322754
108,-1455.7174628973007
109,-1439.6215936541557
110,-1442.9066649079323
111,-1449.3542349338531
112,-1444.5661208033562
113,-1442.0703074336052
114,-1450.0752784013748
115,-1460.7939368486404
116,-1444.9133148789406
117,-1434.5138227939606
118,-1412.6236109733582
119,-1443.8411203324795
120,-1436.250410079956
121,-1441.1455711722374
122,-1483.2157066464424
123,-1423.11015188694
124,-1414.2726968824863
125,-1419.2413345575333
126,-1387.2003645896912
127,-1392.79865026474
128,-1390.4055042266846
129,-1412.1574676036835
130,-1442.357831299305
131,-1427.8952438533306
132,-1415.8424962162971
133,-1427.4715003073215
134,-1417.4410170316696
135,-1434.1241067647934
136,-1444.554162621498
137,-1421.599462121725
138,-1447.231333553791
139,-1434.427455663681
140,-1423.208955526352
141,-1406.3622778654099
142,-1437.9250964522362
143,-1457.8925690054893
144,-1437.0812198519707
145,-1423.703590631485
146,-1406.6563284397125
147,-1434.8984158039093
148,-1446.2831127047539
149,-1422.6975119113922
150,-1445.857857465744
151,-1405.23845911026
152,-1426.3613549172878
153,-1445.620430111885
154,-1451.779439240694
155,-1399.6175581812859
156,-1438.7208954393864
157,-1458.01876693964
158,-1432.835260629654
159,-1454.4374948740005
160,-1431.08456492424
161,-1442.6534017920494
162,-1415.3567349910736
163,-1418.9288115501404
164,-1421.418929696083
165,-1421.9064211845398
166,-1436.4897793531418
167,-1410.642135322094
168,-1405.9671527147293
169,-1410.144737958908
170,-1440.2321091294289
171,-1448.9103069901466
172,-1423.669928908348
173,-1430.0173944234848
174,-1412.9219776391983
175,-1437.437001466751
176,-1422.0940737724304
177,-1434.4166642427444
178,-1423.3664548397064
179,-1440.4655507206917
180,-1430.929229259491
181,-1441.335560977459
182,-1439.5057490468025
183,-1461.0394260287285
184,-1428.8811838626862
185,-1379.931486606598
186,-1392.6274968385696
187,-1420.9378397464752
188,-1431.1038314402103
189,-1443.2555800676346
190,-1420.5411445498466
191,-1435.8485168218613
192,-1440.1311865448952
193,-1407.764840722084
194,-1405.5068409442902
195,-1332.0458735227585
196,-1359.6558644771576
197,-1427.0474201440811
198,-1441.1679854989052
199,-1429.4174736738205
200,-1401.0611063241959
201,-1421.8194460868835
202,-1431.7878580093384
203,-1434.0149050951004
204,-1430.8665549755096
205,-1423.954672217369
206,-1420.9918504953384
