episode,total_reward
1,34.690043203918435
2,-899.9798471654805
3,-1067.9063351563295
4,-1441.742396998859
5,-15007.404339879533
6,-16255.446444238038
7,-18393.61240228244
8,-20740.55630889641
9,-10548.873823365477
10,-1520.384036599833
11,-18236.985496075926
12,-19180.197551236255
13,-4645.70608856163
14,-10942.873243442045
15,-2085.785359361034
16,-3457.2083630668308
17,-953.2802320638866
18,-816.0401148545252
19,-2611.788479265624
20,-1557.883487809454
21,-1908.8493173777815
22,-2118.2789353240173
23,-8357.621637067368
24,-4934.955185676082
25,-2155.2554532476784
26,-871.1227635114027
27,-1713.2477413267557
28,-1938.5154818886203
29,-2167.4456155725034
30,-1632.6050295735895
31,-755.4637991743657
32,-803.7528225788794
33,-1024.0938113249426
34,-974.4872009866714
35,-922.0557261974667
36,-1000.2905343383857
37,-1006.0953284125559
38,-1067.0066574067694
39,-1200.0476374115958
40,-1040.7989336515711
41,-1087.6157945841683
42,-1024.2578736972057
43,-980.4832234011451
44,-1068.0297150765389
45,-1163.687201293041
46,-1028.610322756903
47,-1146.3027436098196
48,-1067.7281254529996
49,-1120.3337801041212
50,-1124.7849205455766
51,-978.6909435784542
52,-1005.0021912729354
53,-1038.2015498406054
54,-1093.4759537523669
55,-2114.5978777947093
56,-4143.211501263268
57,-4893.4789080074415
58,-4212.4237645662115
59,-7547.238665439716
60,-8421.201775112691
61,-4863.217643227334
62,-1598.5006838120498
63,-1528.7951854058717
64,-2077.1747391125273
65,-2907.402806153885
66,-3556.1955227255926
67,-2223.1350911423515
68,-1800.6436082928578
69,-2313.210069899332
70,-2521.695737441915
71,-2196.6042719512875
72,-3280.2962348434794
73,-3536.262075366614
74,-2885.876720917693
75,-2919.952949694234
76,-1805.8076691641627
77,-1856.3579001059506
78,-1613.9451554744069
79,-1489.7145596654825
80,-1824.1681294135642
81,-3117.6610112943977
82,-2708.45032594935
83,-1612.0339687886935
84,-2080.0456392646774
85,-5135.34323319138
86,-1985.1288800245006
87,-1402.5928008295712
88,-971.5593496344261
89,-847.6663375035351
90,-1116.3830419266692
91,-1114.6490983364347
92,-989.0281477043842
93,-916.9841636064025
94,-953.9301096892773
95,-1086.2995297266186
96,-998.914605399789
97,-1074.1431204067885
98,-1165.5190713483694
99,-1107.8365791136032
100,-1516.3246444159743
101,-1112.5372333918633
102,-1484.8483445886109
103,-1236.7742066786154
104,-1071.2874191594956
105,-1149.6501535568373
106,-1370.1159369276672
107,-1143.9243530085855
108,-1089.1294918844135
109,-1244.2201400589524
110,-1078.5436377040867
111,-1229.0806930764745
112,-1038.906633245948
113,-1896.348837445758
114,-1968.0851676450336
115,-2368.8513936171994
116,-1411.3200916070784
117,-1374.151399584775
118,-1443.7432569904822
119,-1283.1046920268643
120,-1713.4356759850516
121,-1539.414006338671
122,-2243.3271558608394
123,-2461.6265943687176
124,-4719.153612736687
125,-1257.3147670424112
126,-1427.3966357341483
127,-1134.6311644134362
128,-1323.2320242621456
129,-2221.5381564943036
130,-2840.4536781871584
131,-17735.49852587712
132,-3478.6730888943416
133,-2867.2200406455227
134,-1821.7611531400673
135,-1803.7068908505662
136,-2247.0388858082897
137,-2333.12746444707
138,-14945.030243525278
139,-2191.855093491408
140,-1517.7394276004084
141,-1450.824954028048
142,-14304.900489823223
143,-3921.8233961481387
144,-2334.519513166257
145,-1779.1524510009717
146,-1490.1497317259484
147,-2874.77820546122
148,-5623.254738957698
149,-2328.190533618731
150,-1415.6357262001602
151,-1761.40333508194
152,-4211.175371873965
153,-1698.2223307335762
154,-3306.8770264527802
155,-1927.2005375189385
156,-2418.2216258120784
157,-1681.9558549050826
158,-1604.8945557629336
159,-1304.4493938395756
160,-3401.105292788108
161,-3688.781862402849
162,-4036.8645350738134
163,-5069.101053122006
164,-4406.158620216112
165,-4034.7429462856035
166,-8614.625396139172
167,-6909.758653364618
168,-7825.2961809858925
169,-6555.595042279207
170,-6395.977300748951
171,-8499.46406760003
172,-8642.181845718444
173,-8316.591769620723
174,-7610.290210901586
175,-9759.331671340384
176,-10966.037968767929
177,-10579.051987669474
178,-9733.230083267505
179,-9249.304953511182
180,-7957.960058631894
181,-7595.103394543115
182,-8981.59050413716
183,-9664.295209960526
184,-11216.877844646884
185,-11870.730391167916
186,-11817.962892578684
187,-11329.834557712185
188,-12277.870955115002
189,-15105.080385789513
190,-16863.660178764792
191,-19608.742197338644
192,-18384.75700307467
193,-20838.19867579956
194,-21040.640201691134
195,-18592.83795299669
196,-19085.266208451878
197,-19670.34776331715
198,-20706.149660383035
199,-20910.56098282995
200,-20786.03320749426
201,-15484.202981427447
