episode,avg_reward
1,0.0
2,0.0
3,-6.126397827584518
4,-14.150400338399917
5,-17.693811276082606
6,-15.86129450986875
7,-15.73672694572913
8,-15.541080033063238
9,-17.896928028155372
10,-15.160383816896115
11,-10.840315504159923
12,-12.91754422721944
13,-12.42744223580488
14,-14.91963552220805
15,-14.013229452224714
16,-16.262662567535084
17,-14.373252882402747
18,-14.078531355731414
19,-13.824240422308993
20,-11.319504352492814
21,-13.051461828044262
22,-12.022137807334632
23,-13.225384864376096
24,-13.223095409903365
25,-12.920537859329038
26,-12.990182790356775
27,-13.766065962486168
28,-13.862449873534018
29,-12.449729686004048
30,-13.286062745986431
31,-12.303451294857485
32,-12.224221487232866
33,-12.836010867279718
34,-14.651869323000216
35,-12.577693646546669
36,-13.120759020346846
37,-17.03712322597806
38,-13.50872362102539
39,-13.586917678842084
40,-13.773944541188948
41,-14.034991607648374
42,-12.781933398272713
43,-13.866716141405522
44,-11.53229200244091
45,-11.618867058234464
46,-11.843746734392925
47,-11.18621501742744
48,-11.307234176060438
49,-12.138060920316594
50,-13.174514195921192
51,-12.279801239523422
52,-12.813238691735894
53,-11.556041441294747
54,-12.32089002895785
55,-11.886863325220618
56,-12.050659130753615
57,-13.624141442306241
58,-13.443927345454371
59,-12.889151379000944
60,-12.745123965643657
61,-12.542649640919745
62,-13.135946215552261
63,-14.230751043714228
64,-14.403798127426793
65,-12.904794259483944
66,-15.262706961352096
67,-15.818329827612828
68,-14.254906270732196
69,-18.465085055383252
70,-14.192810766061966
71,-12.178616660200861
72,-10.605584572228464
73,-13.374375789341764
74,-12.749051473288526
75,-12.77905465630764
76,-11.663126594504979
77,-16.090314034969335
78,-14.541184554001665
79,-12.377699793255427
80,-11.63814837987055
81,-12.870614612634032
82,-12.703193471678457
83,-12.585976534854005
84,-13.196204754752792
85,-12.019044880766382
86,-13.596196404744317
87,-10.661968095920646
88,-12.120727046974126
89,-12.093749790779897
90,-11.877221688095107
91,-13.237297999782196
92,-11.44170570306965
93,-13.09071281512946
94,-11.614706402007672
95,-12.666371439756874
96,-13.386740386892628
97,-14.696780227904032
98,-12.143137931109903
99,-11.267260895091045
100,-11.827339728735765
101,-17.240517682143313
102,-13.078251069359549
103,-12.972535714300603
104,-12.160179001994164
105,-12.292714126595019
106,-13.307854459373168
107,-15.50272560690395
108,-15.70597544688944
109,-12.34490410350996
110,-13.201319771694212
111,-10.097810248453806
112,-12.86743020557194
113,-11.771994228176558
114,-12.807473709656536
115,-16.096469012758533
116,-14.31777766928236
117,-13.127886431892417
118,-10.764312936559413
119,-12.604945545344814
120,-12.182102494826598
121,-11.993149120414857
122,-12.1151606971517
123,-13.686502256816373
124,-12.319627518154936
125,-12.338099349094074
126,-12.779703799139634
127,-14.332567847343642
128,-14.03583051466781
129,-14.582116992022229
130,-16.820184516365895
131,-12.651388230445281
132,-14.026939177125907
133,-13.56384367270805
134,-14.470617499819667
135,-13.852226167079676
136,-13.778154275318787
137,-15.45405843536238
138,-12.448827549872835
139,-7.956054993537727
